nohup: ignoring input
Lambdifying EOM
Setting up symbolic variables
Lambdifying accelerations
Solving IVP
t: 1.0009807189784365, cost: 19.884454215284492, nfev: 85, v_opt: [-0.00079513  0.00059986  0.00012112]
t: 1.0249758489486527, cost: 19.87746163430806, nfev: 96, v_opt: [0.01776976 0.01417534 0.00208504]
t: 1.0309224420097605, cost: 19.87607410137523, nfev: 96, v_opt: [-0.01873957  0.01337467  0.00255522]
t: 1.0473966691903434, cost: 19.870952860238585, nfev: 96, v_opt: [0.03019331 0.0125624  0.00186787]
t: 1.0539863600625765, cost: 19.868409653654282, nfev: 96, v_opt: [0.09329944 0.01482671 0.00206484]
t: 1.0367830385442365, cost: 19.874439216274737, nfev: 84, v_opt: [0. 0. 0.]
t: 1.042229288222653, cost: 19.872926740710426, nfev: 96, v_opt: [-0.01826779  0.01355318  0.00259471]
t: 1.063379812657674, cost: 19.86731537019919, nfev: 96, v_opt: [-0.03207786  0.00807962  0.00157899]
t: 1.083528933626611, cost: 19.862752094451697, nfev: 96, v_opt: [-0.12165073 -0.00057129  0.0004341 ]
t: 1.0703855668067204, cost: 19.865289918833614, nfev: 96, v_opt: [-0.0277427   0.01112701  0.00218152]
t: 1.1101575331913576, cost: 19.85397594415705, nfev: 96, v_opt: [-0.0213089   0.01508541  0.00289114]
t: 1.1195411415437133, cost: 19.851533767371688, nfev: 96, v_opt: [-0.06694594  0.00353626  0.00090103]
t: 1.0887339672998249, cost: 19.860171499633033, nfev: 96, v_opt: [-0.02692497  0.01054204  0.00204009]
t: 1.0965139642230932, cost: 19.85782980185856, nfev: 84, v_opt: [0. 0. 0.]
t: 1.1261770875344643, cost: 19.873396940299035, nfev: 124, v_opt: [-1.85152021 -0.12280093 -0.01277477]
t: 1.1388412304318407, cost: 19.851377364026234, nfev: 96, v_opt: [-0.43128613 -0.02281855 -0.00197746]
t: 1.143923390661709, cost: 19.840236525492813, nfev: 96, v_opt: [0.24914591 0.02521473 0.0031855 ]
t: 1.1582450451194777, cost: 19.834680734966675, nfev: 96, v_opt: [0.33922934 0.03144882 0.00384977]
t: 1.1490813458367768, cost: 19.838130196484354, nfev: 96, v_opt: [0.28693413 0.02787899 0.00348753]
t: 1.1711624928771047, cost: 19.83227510757355, nfev: 96, v_opt: [0.17583556 0.02043131 0.00269626]
t: 1.2004949570527845, cost: 19.82357439439439, nfev: 96, v_opt: [0.09343611 0.01450062 0.00202343]
t: 1.2102724451113445, cost: 19.82122392503073, nfev: 96, v_opt: [-0.03393545  0.00560711  0.00110513]
t: 1.1646831198956271, cost: 19.834181767182443, nfev: 84, v_opt: [0.19157911 0.02144051 0.00279305]
t: 1.1778755802039567, cost: 19.830713066683074, nfev: 96, v_opt: [0.11925181 0.01651242 0.0022678 ]
t: 1.1871033000350646, cost: 19.827021006876095, nfev: 96, v_opt: [0.17962147 0.02057686 0.00269433]
t: 1.2159124852231329, cost: 19.8178008370606, nfev: 84, v_opt: [0.19190628 0.02138127 0.00277949]
t: 1.1936075213094406, cost: 19.82505935189132, nfev: 96, v_opt: [0.16817802 0.01976212 0.00261008]
t: 1.2214224134285943, cost: 19.816109201464926, nfev: 96, v_opt: [0.1588387  0.01910349 0.00253073]
t: 1.2382135577883433, cost: 19.80998784753305, nfev: 96, v_opt: [0.23002302 0.02398264 0.00304898]
t: 1.244930015532243, cost: 19.80652934078586, nfev: 96, v_opt: [0.38875823 0.03483195 0.0042086 ]
t: 1.228786735053901, cost: 19.813902508100526, nfev: 96, v_opt: [0.14564008 0.01815987 0.00242187]
t: 1.2525586768161157, cost: 19.80661611904926, nfev: 96, v_opt: [0.1255992  0.01664304 0.00225105]
t: 1.2577160129770109, cost: 19.804822940066657, nfev: 96, v_opt: [0.14951069 0.01839566 0.002445  ]
t: 1.264023088550271, cost: 19.804900777776155, nfev: 96, v_opt: [-0.04708708  0.00443202  0.000965  ]
t: 1.283976215697956, cost: 19.79755317435508, nfev: 96, v_opt: [0.05214874 0.01164876 0.00173195]
t: 1.2900287753262272, cost: 19.796405938926117, nfev: 96, v_opt: [-0.0388282   0.00506072  0.00103534]
t: 1.2695822275223831, cost: 19.802345017035115, nfev: 96, v_opt: [0.03681662 0.01056813 0.00162626]
t: 1.2952487880153951, cost: 19.79330190791737, nfev: 96, v_opt: [0.14407624 0.01796322 0.00239821]
t: 1.2757803931438065, cost: 19.799784980597373, nfev: 96, v_opt: [0.09106084 0.01433241 0.00200954]
t: 1.3019072625398216, cost: 19.791895898801823, nfev: 97, v_opt: [0.07165654 0.0135824  0.00186704]
t: 1.3138097512106564, cost: 19.787271163083364, nfev: 96, v_opt: [0.1604691  0.01910293 0.0025225 ]
t: 1.319190914119004, cost: 19.783988445373186, nfev: 96, v_opt: [0.3251885  0.03035398 0.00372298]
t: 1.3081119837785378, cost: 19.78919048517979, nfev: 96, v_opt: [0.13990868 0.01757709 0.00234675]
t: 1.3283667404409736, cost: 19.78455000247895, nfev: 96, v_opt: [0.03499963 0.01080411 0.00167344]
t: 1.3354975861156668, cost: 19.78300089331383, nfev: 96, v_opt: [-0.0210288   0.00735361  0.00134589]
t: 1.3476620811722912, cost: 19.77902543989479, nfev: 96, v_opt: [0.02476997 0.01100792 0.00175478]
t: 1.3407473287565308, cost: 19.781036589173596, nfev: 96, v_opt: [0.02521433 0.01097329 0.00174499]
t: 1.3622168374865782, cost: 19.774998291722287, nfev: 84, v_opt: [0. 0. 0.]
t: 1.3672470061670088, cost: 19.773593432042254, nfev: 84, v_opt: [0. 0. 0.]
t: 1.3560792182035541, cost: 19.77671035727559, nfev: 96, v_opt: [0.01653464 0.01151485 0.00188928]
t: 1.3724225923526037, cost: 19.77210162756296, nfev: 84, v_opt: [0. 0. 0.]
t: 1.3877145020612165, cost: 19.767796589564192, nfev: 84, v_opt: [0. 0. 0.]
t: 1.395360456915523, cost: 19.765696405983675, nfev: 84, v_opt: [0. 0. 0.]
t: 1.433590231187055, cost: 19.75526138906482, nfev: 84, v_opt: [0. 0. 0.]
t: 1.440386635501994, cost: 19.75345023486713, nfev: 96, v_opt: [-0.01785954  0.00896979  0.0015954 ]
